epoch,lr-AdamW,step,train/corr,train/dtw_score,train/loss,val/corr,val/dtw_score,val/loss
,5e-05,0,,,,,,
0,,47,,,,0.0859375,2465164.4652961353,1.3346118927001953
0,,47,0.04062144085764885,13124669.30311766,1.4211283922195435,,,
,0.0002,48,,,,,,
1,,95,,,,0.251953125,2736071.5333108427,1.493218183517456
1,,95,0.2487691193819046,11791708.301714383,1.319513201713562,,,
,0.00035,96,,,,,,
2,,143,,,,0.3203125,3604002.5790249133,1.8830522298812866
2,,143,0.5559489130973816,8477944.604123067,1.058023452758789,,,
,0.0005,144,,,,,,
3,,191,,,,0.328125,4682628.893108655,2.3625926971435547
3,,191,0.7171223759651184,5863658.761220269,0.834812581539154,,,
,0.0006500000000000001,192,,,,,,
4,,239,,,,0.326171875,4635185.847842511,2.3213376998901367
4,,239,0.8133952021598816,3850650.4776458736,0.642204999923706,,,
,0.0008,240,,,,,,
5,,287,,,,0.3125,5307594.110813521,2.63818621635437
5,,287,0.85302734375,3077896.180933641,0.5604288578033447,,,
,0.0007972401454600673,288,,,,,,
6,,335,,,,0.3203125,4864343.84858795,2.436436653137207
6,,335,0.88623046875,2291032.980263927,0.46821460127830505,,,
,0.000789004106395021,336,,,,,,
7,,383,,,,0.318359375,3833985.823640206,1.9809904098510742
7,,383,0.9027506709098816,2043239.3540753191,0.43803301453590393,,,
,0.0007754217700608881,384,,,,,,
8,,431,,,,0.30859375,3906768.381509085,2.004786491394043
8,,431,0.9149577021598816,1745959.8324701395,0.39914432168006897,,,
,0.0007567073380153524,432,,,,,,
9,,479,,,,0.30859375,4716435.626500593,2.35359525680542
9,,479,0.9231770634651184,1574622.4320953137,0.3763549327850342,,,
,0.0007331559480312317,480,,,,,,
10,,527,,,,0.302734375,5318862.283825417,2.6129403114318848
10,,527,0.9288737177848816,1478569.4306747532,0.3632313013076782,,,
,0.0007051390195974941,528,,,,,,
11,,575,,,,0.3125,4134079.8444140824,2.0958447456359863
11,,575,0.935791015625,1306771.4132961424,0.33800527453422546,,,
,0.0006730983964120414,576,,,,,,
12,,623,,,,0.306640625,4064469.3984138626,2.0611162185668945
12,,623,0.9393717646598816,1248994.500068172,0.3288893401622772,,,
,0.0006375393782426488,624,,,,,,
13,,671,,,,0.314453125,3892519.012811822,1.9903712272644043
13,,671,0.942626953125,1170967.76684468,0.3170379400253296,,,
,0.0005990227520477755,672,,,,,,
14,,719,,,,0.306640625,4186668.118121851,2.119861125946045
14,,719,0.9466959834098816,1099547.9134707802,0.3062136173248291,,,
,0.0005581559480312316,720,,,,,,
15,,767,,,,0.306640625,4161731.019646528,2.1060848236083984
15,,767,0.9482421875,1054986.8332139752,0.29882219433784485,,,
,0.0005155834601050037,768,,,,,,
16,,815,,,,0.310546875,3819430.69725584,1.951645851135254
16,,815,0.9518229365348816,981848.708862271,0.2870907485485077,,,
,0.00047197668183525973,816,,,,,,
17,,863,,,,0.30859375,4201304.072038447,2.121523380279541
17,,863,0.9529622197151184,954212.6860814854,0.28208860754966736,,,
,0.00042802331816474035,864,,,,,,
18,,911,,,,0.30859375,3625502.4147215225,1.8682336807250977
18,,911,0.9549153447151184,926863.7570867414,0.27758854627609253,,,
,0.00038441653989499644,912,,,,,,
19,,959,,,,0.306640625,3777496.7108232975,1.9358911514282227
19,,959,0.9556477665901184,903675.81527913,0.2736207842826843,,,
,0.0003572571770756844,960,,,,,,
20,,1007,,,,0.3046875,4089667.252627933,2.0769271850585938
20,,1007,0.9574381709098816,870478.4916948847,0.2679249942302704,,,
,0.0002861530421019353,1008,,,,,,
21,,1055,,,,0.302734375,3861751.2106549293,1.9776034355163574
21,,1055,0.9589030146598816,827108.1139927964,0.260422021150589,,,
,0.00019826349779306118,1056,,,,,,
22,,1103,,,,0.306640625,4012818.9975507744,2.0441060066223145
22,,1103,0.9602864384651184,798200.2966138273,0.25505781173706055,,,
,0.00012715936281931204,1104,,,,,,
23,,1151,,,,0.3046875,3737335.6269727396,1.9183497428894043
23,,1151,0.9609375,775576.5973402467,0.2510894238948822,,,
,0.0001,1152,,,,,,
24,,1199,,,,0.3046875,4046811.4502902,2.0552151203155518
24,,1199,0.961669921875,763919.2389407727,0.24869853258132935,,,
,0.0001,1200,,,,,,
25,,1247,,,,0.306640625,3711735.548438261,1.9104031324386597
25,,1247,0.9622395634651184,753546.1139418558,0.24718260765075684,,,
,0.0001,1248,,,,,,
26,,1295,,,,0.3046875,4085671.177889667,2.0731611251831055
26,,1295,0.9618327021598816,755804.6049895942,0.24716795980930328,,,
,0.0001,1296,,,,,,
27,,1343,,,,0.306640625,3749643.8473268,1.9254225492477417
27,,1343,0.962158203125,756591.9122317294,0.24733257293701172,,,
,0.0001,1344,,,,,,
28,,1391,,,,0.3046875,3933869.0583263775,2.0079903602600098
28,,1391,0.9628092646598816,744459.7580364045,0.24525262415409088,,,
,0.0001,1392,,,,,,
29,,1439,,,,0.3046875,3834105.4181730603,1.962641954421997
29,,1439,0.9627278447151184,738486.3405039241,0.24445976316928864,,,
,0.0001,1440,,,,,,
30,,1440,,,,0.3046875,3876280.9121177183,1.9809634685516357
30,,1440,0.9617512822151184,756917.9243027888,0.2476678043603897,,,
